,因子1
18、学习适应量表—1.我感觉我适应研究生的学习,-0.031300875631805274
"18、2.我有自己的学习方法和计划, 并能付诸实践",-0.1952517963820673
"18、3.上研究生后, 我的独立性显著增强",-0.04335191291190071
"18、4.上研究生后, 我的实践能力明显增强",-0.0701773003656307
"18、5.由于对专业课感兴趣, 我有学习积极性",-0.073812704128012
19、学业焦虑量表—1.有时觉得自己学习差，对不起家人和自己。,0.8187801536589943
19、2.父母经常提及我学习的事让我感到烦躁。,0.8160771064477932
19、3.听到亲戚讨论我学习时，我会感到紧张和不安。,0.8014825045086311
19、4.我担心老师给我不好的学业评价。,0.6162903496467621
19、5.成绩下降导致我很焦虑。,0.7223922335363793
19、6.在学习中，我经常受到挫折。,0.8552855121660026
19、7.我经常怀疑自己的学习能力。,0.8533968588375982
19、8.考试发挥失常总让我感到紧张不安。,0.7641974188951534
19、9.一个人在夜里，常常因害怕学习感到恐慌。,0.8351054492402286
19、10.因为学业，放弃课外活动让我感到失望。,0.7935405477720553
