量表,变量,KS统计量,KS_p值,游程统计量,游程p值
学习适应量表,18、学习适应量表—1.我感觉我适应研究生的学习,0.2920720797034164,2.438287898040822e-26,-0.9531343657698479,0.3405219959893203
学习适应量表,"18、2.我有自己的学习方法和计划, 并能付诸实践",0.28681896456950173,2.125743166957185e-25,-0.9531343657698479,0.3405219959893203
学习适应量表,"18、3.上研究生后, 我的独立性显著增强",0.28701599431023084,1.9614207174921208e-25,-0.9531343657698479,0.3405219959893203
学习适应量表,"18、4.上研究生后, 我的实践能力明显增强",0.23850335997562244,1.3304190675150808e-17,-0.9531343657698479,0.3405219959893203
学习适应量表,"18、5.由于对专业课感兴趣, 我有学习积极性",0.3114837928813709,5.6347930353013296e-30,-0.9531343657698479,0.3405219959893203
学习适应量表,19、学业焦虑量表—1.有时觉得自己学习差，对不起家人和自己。,0.23255158328425862,9.540180098326351e-17,-0.9531343657698479,0.3405219959893203
学习适应量表,19、2.父母经常提及我学习的事让我感到烦躁。,0.2073024430346444,2.2808272946613516e-13,-0.9531343657698479,0.3405219959893203
学习适应量表,19、3.听到亲戚讨论我学习时，我会感到紧张和不安。,0.23351071917732424,6.96972034277087e-17,-0.9531343657698479,0.3405219959893203
学习适应量表,19、4.我担心老师给我不好的学业评价。,0.28797013726023446,1.3274022218164398e-25,-0.9531343657698479,0.3405219959893203
学习适应量表,19、5.成绩下降导致我很焦虑。,0.23234012325057546,1.0222012600624595e-16,-0.9531343657698479,0.3405219959893203
学习适应量表,19、6.在学习中，我经常受到挫折。,0.16699665944308062,8.342911650889793e-09,-0.9531343657698479,0.3405219959893203
学习适应量表,19、7.我经常怀疑自己的学习能力。,0.16724452001762968,7.876590231429927e-09,-0.9531343657698479,0.3405219959893203
学习适应量表,19、8.考试发挥失常总让我感到紧张不安。,0.18389558084136226,1.3528176651348304e-10,-0.9531343657698479,0.3405219959893203
学习适应量表,19、9.一个人在夜里，常常因害怕学习感到恐慌。,0.2344692354340574,5.085968854413321e-17,-0.9531343657698479,0.3405219959893203
学习适应量表,19、10.因为学业，放弃课外活动让我感到失望。,0.21067043673248897,8.526543387169773e-14,-0.9531343657698479,0.3405219959893203
